spotify_track_uri,master_metadata_track_name,master_metadata_album_artist_name,duration_ms,song_popularity,release_date,is_explicit
spotify:track:03UrZgTINDqvnUMbbIMhql,Gangnam Style (강남스타일),PSY,219493,75,2012-01-01,False
spotify:track:03WmeqPnjaBnm4lfwm8v8z,Stardust,New Politics,220586,35,2015-08-14,False
spotify:track:03X3YEhpBI3Yl651OdqOCr,I Need It,Johnny Balik,205456,35,2017-03-03,False
spotify:track:03XmGNslK3kENR5Ksidcr0,Dead Man Walking,Mansa,228000,0,2016-06-20,False
spotify:track:03YZnK3XQWKpvo9TyNZzXf,The Emotion,BØRNS,224786,52,2015-10-16,False
spotify:track:03YmYz3iqt9XkZBcQuqoAo,Call Your Girlfriend (Robyn Cover),John-Allison Weiss,230632,0,2014-07-22,False
spotify:track:03YuyrltrfOOtysn0HBvax,Tão Seu,Skank,243666,53,1996-06-15,False
spotify:track:03Z9Xiu6te6MbMRlICuDGL,Garbage,"Tyler, The Creator",208586,0,2013-09-24,True
spotify:track:03a359wbiUsjN9h6yzXvmS,She Don't Give a Fo,Duki,209531,74,2018-03-12,False
spotify:track:03aj5RvDlDkeBV36Fh426F,"25 Variations & Fugue on a Theme by Handel, Op. 24: Aria",Johannes Brahms,71760,0,2017-11-17,False
spotify:track:03bb7fUb2yrQgFoD4H76VO,White Noise - Wide 500 k 1.0 dB Gain,Power of Noise,102556,41,2021-05-06,False
spotify:track:03cokFHBxSgFZxfVJ0N8U6,Observatory,Max Fry,134400,0,2017-05-19,False
spotify:track:03e4A00khehPEsePxyWea5,NOT FOR SALE,Zion.T,133960,32,2023-12-06,False
spotify:track:03f7xZmt2wHCIDJBFPK8G4,Soap,Melanie Martinez,209426,68,2015-08-14,False
spotify:track:03fQPSfmQYEsPpMtPMzQKi,I Need You Here,Vinyl Theatre,199615,16,2013-07-01,False
spotify:track:03gqZZavMKhWbSjdQvpF6O,Mirrors,Justin Timberlake,485360,0,2013-02-11,False
spotify:track:03hpJ4OUYIPuehhptEoNMF,TURN IT UP (T.O.P),GD&TOP,212509,0,2010-12-24,False
spotify:track:03idexuwehoYjvFk1T8KE0,Lookin Back,Chevy Woods,242983,0,2015-08-07,True
spotify:track:03jWjjU4uMEvlZUn4Q3CZz,B L U R,Zyphyr,205090,24,2020-02-15,False
spotify:track:03jcNioX4fCfRgDagg9kvB,Give Me Love,Ciara,200613,30,2015-05-04,False
spotify:track:03m2VS3eYqKwbHvEykTYl5,shots in the dark (with Trippie Redd),iann dior,188583,0,2021-04-16,True
spotify:track:03msj6d5p6mTfd7bCfdalU,SILHOUETTE,OoOo,136000,31,2024-07-25,False
spotify:track:03nPEoQOYMuDe7KmGljpmd,"No Brainer (feat. Justin Bieber, Chance the Rapper & Quavo)",DJ Khaled,260000,58,2019-05-17,True
spotify:track:03oDhiHAYPRx26Rb9mu1wg,Gaia,Nariaki,308778,0,2019-12-18,False
